#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	3.361648388044594867e+03 0.000000000000000000e+00 9.868715481442806777e+03 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	3.218131915389571986e+03 0.000000000000000000e+00 3.694962763680942589e+04 -0.000000000000000000e+00 -1.063464933497628995e-01 0.000000000000000000e+00
.0156250	2.823309636508114636e+03 0.000000000000000000e+00 6.484155388666884392e+04 -0.000000000000000000e+00 -3.385105866173444000e-01 0.000000000000000000e+00
.0234375	2.269994887562056647e+03 0.000000000000000000e+00 7.821577272892356268e+04 -0.000000000000000000e+00 -5.083444875989421297e-01 0.000000000000000000e+00
.0312500	1.672687597455060313e+03 0.000000000000000000e+00 7.686504923774249619e+04 -0.000000000000000000e+00 -4.766125781960707242e-01 0.000000000000000000e+00
.0390625	1.129647857635796299e+03 0.000000000000000000e+00 6.490606626293824229e+04 -0.000000000000000000e+00 -2.487475283145579585e-01 0.000000000000000000e+00
.0468750	6.992384221302665992e+02 0.000000000000000000e+00 4.822434867058995587e+04 -0.000000000000000000e+00 5.163995570747567654e-02 2.131628207280300852e-19
.0546875	3.967124541087537750e+02 0.000000000000000000e+00 3.192758687753816776e+04 -0.000000000000000000e+00 2.855291428484724170e-01 -5.684341886080801952e-19
.0625000	2.063028895909643836e+02 0.000000000000000000e+00 1.897834093524485797e+04 -0.000000000000000000e+00 3.830404319418647119e-01 6.394884621840902076e-19
.0703125	9.833717041384323920e+01 0.000000000000000000e+00 1.017758123197214809e+04 -0.000000000000000000e+00 3.577652613831120987e-01 -5.684341886080801952e-19
.0781250	4.296428075651257217e+01 0.000000000000000000e+00 4.940211043194572085e+03 -0.000000000000000000e+00 2.676285289573398507e-01 5.684341886080801952e-19
.0859375	1.720508976365513831e+01 0.000000000000000000e+00 2.175476347521690968e+03 -0.000000000000000000e+00 1.686653849313276554e-01 -5.684341886080801952e-19
.0937500	6.314409128294036222e+00 0.000000000000000000e+00 8.705215218688271079e+02 -0.000000000000000000e+00 9.181204365252336463e-02 5.684341886080801952e-19
.1015625	2.123653248358100321e+00 0.000000000000000000e+00 3.169044370385478828e+02 -0.000000000000000000e+00 4.379424933394509417e-02 4.263256414560601705e-19
.1093750	6.543914891767244058e-01 0.000000000000000000e+00 1.050410849110917297e+02 -0.000000000000000000e+00 1.847467084145983790e-02 -1.705302565824240682e-18
.1171875	1.847139751935769347e-01 0.000000000000000000e+00 3.171866974622616908e+01 -0.000000000000000000e+00 6.935795762593455205e-03 7.105427357601002199e-19
.1250000	4.774738836744021192e-02 0.000000000000000000e+00 8.728606772882400833e+00 -0.000000000000000000e+00 2.327551686663262894e-03 5.684341886080801952e-19
.1328125	1.129899503638147860e-02 0.000000000000000000e+00 2.189373884658722069e+00 -0.000000000000000000e+00 7.004555641175876047e-04 5.684341886080801952e-19
.1406250	2.446776357578650616e-03 0.000000000000000000e+00 5.005447314734893238e-01 -0.000000000000000000e+00 1.894795935689878722e-04 5.684341886080801952e-19
.1484375	4.846264286072849629e-04 0.000000000000000000e+00 1.042933039758628250e-01 -0.000000000000000000e+00 4.615221596865079441e-05 -3.979039320256561463e-18
.1562500	8.774890624771113892e-05 0.000000000000000000e+00 1.979924275452105836e-02 -0.000000000000000000e+00 1.013463085972974233e-05 5.115907697472721660e-18
.1640625	1.451544845059744978e-05 0.000000000000000000e+00 3.423397953231654533e-03 -0.000000000000000000e+00 2.008069622530959651e-06 -3.979039320256561463e-18
.1718750	2.192171375182963332e-06 0.000000000000000000e+00 5.388583880155852889e-04 -0.000000000000000000e+00 3.592027184912390341e-07 5.684341886080801952e-19
.1796875	3.020258907985990528e-07 0.000000000000000000e+00 7.717014573191758990e-05 -0.000000000000000000e+00 5.802463554164758404e-08 5.684341886080801952e-19
.1875000	3.792969532493821829e-08 0.000000000000000000e+00 1.004825517707750810e-05 -0.000000000000000000e+00 8.464944842557720192e-09 5.684341886080801952e-19
.1953125	4.337985935616064698e-09 0.000000000000000000e+00 1.188695874553002624e-06 -0.000000000000000000e+00 1.115117691056429810e-09 5.684341886080801952e-19
.2031250	4.513715855711435963e-10 0.000000000000000000e+00 1.276505996098347746e-07 -0.000000000000000000e+00 1.326103870727898698e-10 5.684341886080801952e-19
.2109375	4.267485357157285593e-11 0.000000000000000000e+00 1.243120674841487992e-08 -0.000000000000000000e+00 1.422968764775480198e-11 2.842170943040400976e-19
.2187500	3.658402388590985804e-12 0.000000000000000000e+00 1.096199891529952770e-09 -0.000000000000000000e+00 1.376608682494372036e-12 -8.242295734817162204e-18
.2265625	2.830239680954036839e-13 0.000000000000000000e+00 8.723525977703301798e-11 -0.000000000000000000e+00 1.197935098128999386e-13 9.947598300641404042e-18
.2343750	1.952649676414615457e-14 0.000000000000000000e+00 6.207820930632740732e-12 -0.000000000000000000e+00 9.308286551532024149e-15 -8.526512829121203024e-18
.2421875	1.169524799586148427e-15 0.000000000000000000e+00 3.859057818391021961e-13 -0.000000000000000000e+00 6.323566468209355133e-16 9.663381206337363222e-18
.2500000	5.767168792739662958e-17 0.000000000000000000e+00 1.992322285094742887e-14 -0.000000000000000000e+00 3.575857135384299864e-17 -8.526512829121203024e-18
.2578125	2.131720999313358349e-18 0.000000000000000000e+00 7.769139746565294795e-16 -0.000000000000000000e+00 1.529511187033163495e-18 9.663381206337363222e-18
.2656250	4.992777633011665832e-20 0.000000000000000000e+00 1.923359393193685201e-17 -0.000000000000000000e+00 4.144852356412908377e-20 -8.526512829121203024e-18
.2734375	5.061191879406780330e-22 0.000000000000000000e+00 2.035175962537193240e-19 -0.000000000000000000e+00 4.755309802922853242e-22 9.663381206337363222e-18
.2812500	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 1.235413821472327055e-87 -9.094947017729283123e-18
.2890625	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -3.953324228711446756e-87 9.663381206337363222e-18
.2968750	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 1.317774742903815511e-87 -8.526512829121203024e-18
.3046875	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 3.870963307279958077e-87 -8.526512829121203024e-18
