#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	1.630260984648229439e+01 2.691542768200345514e-05 7.574102232861323891e-01 -9.788019420458351407e-06 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	1.626932971976119902e+01 2.703365328160511893e-05 4.148831382911387422e+00 -3.751869692129136978e-05 -7.686686514576888330e-06 1.186277237081196916e-10
.0156250	1.616989641317346482e+01 2.739145503927176151e-05 7.468262371410325784e+00 -7.692195282198059441e-05 -3.046876539672840241e-05 4.793223378787408519e-10
.0234375	1.603197900794522468e+01 2.803652619431939996e-05 9.028840809575848780e+00 -1.201659066581922208e-04 -6.767686806745058369e-05 1.098280169370198732e-09
.0312500	1.584966792409320746e+01 2.896419511178027761e-05 1.109941381084905387e+01 -1.641221113111767998e-04 -1.182468790548672744e-04 2.003112738157329379e-09
.0390625	1.562297631658382535e+01 3.018195525539280055e-05 1.324645548029259245e+01 -2.100623384555627389e-04 -1.807461982761984862e-04 3.233269731215363011e-09
.0468750	1.535338268405156015e+01 3.170216739689646346e-05 1.536359080894385443e+01 -2.587372406961984186e-04 -2.534137499082993791e-04 4.840690680163553759e-09
.0546875	1.504315148536286273e+01 3.354108763042873420e-05 1.740029215390475770e+01 -3.108303817486455568e-04 -3.342125530185466645e-04 6.890684145159100528e-09
.0625000	1.469509753887244941e+01 3.571868406493372561e-05 1.932547294129455651e+01 -3.670242946962963115e-04 -4.208921657838436518e-04 9.463027109299396523e-09
.0703125	1.431246307502587456e+01 3.825869419338268074e-05 2.111730073225661641e+01 -4.280231375672245166e-04 -5.110590272015515722e-04 1.265329302145587227e-08
.0781250	1.389882948120803441e+01 4.118879658332463833e-05 2.275956802913133714e+01 -4.945645427103888530e-04 -6.022523568375969666e-04 1.657442201353478139e-08
.0859375	1.345803972118493874e+01 4.454086019334280167e-05 2.424019396804639825e+01 -5.674280561224292162e-04 -6.920228101444798581e-04 2.135855092869589831e-08
.0937500	1.299412311590641700e+01 4.835126001700995602e-05 2.555052990059882490e+01 -6.474424217422158293e-04 -7.780106586350263873e-04 2.715912431270962692e-08
.1015625	1.251121990594439559e+01 5.266125599368010057e-05 2.668499017640390036e+01 -7.354925541375787303e-04 -8.580199697688604965e-04 3.415331052407942239e-08
.1093750	1.201350554836263029e+01 5.751743462267810969e-05 2.764081146948012702e+01 -8.325265713608285406e-04 -9.300851880504223306e-04 4.254474890011172480e-08
.1171875	1.150511599492212689e+01 6.297221287809851020e-05 2.841785244868952276e+01 -9.395630739118559409e-04 -9.925267343466892284e-04 5.256665461037030632e-08
.1250000	1.099007589099546678e+01 6.908440309183472294e-05 2.901839270304990492e+01 -1.057698769811489439e-03 -1.043992778354239015e-03 6.448530667023928718e-08
.1328125	1.047223194405951929e+01 7.591983604782193140e-05 2.944691269340004425e+01 -1.188116496747557930e-03 -1.083485185604703398e-03 7.860394177885115392e-08
.1406250	9.955193718960954286e+00 8.355203792032028787e-05 2.970984877221816589e+01 -1.332093657452704380e-03 -1.110368728834050869e-03 9.526707158041580913e-08
.1484375	9.442283869304505473e+00 9.206295515518103656e-05 2.981532444883361421e+01 -1.491011055828510854e-03 -1.124363870189206468e-03 1.148652347736501205e-07
.1562500	8.936499356559851392e+00 1.015437201036251125e-04 2.977286339450034802e+01 -1.666362095225863010e-03 -1.125524621680875758e-03 1.378401868376379839e-07
.1640625	8.440484600529332582e+00 1.120954492833670102e-04 2.959309221882923424e+01 -1.859762276718882230e-03 -1.114204028053502596e-03 1.646905210968669641e-07
.1718750	7.956516819001911323e+00 1.238300656248858544e-04 2.928744230155045614e+01 -2.072958914078183550e-03 -1.091010563308015147e-03 1.959777049312223259e-07
.1796875	7.486503128005987939e+00 1.368711359286400864e-04 2.886786019926368851e+01 -2.307840965239546082e-03 -1.056759110187493892e-03 2.323325041092738088e-07
.1875000	7.031988358909394776e+00 1.513547149752936249e-04 2.834653554874596182e+01 -2.566448866317366188e-03 -1.012420180635894033e-03 2.744617586149656217e-07
.1953125	6.594172061461317291e+00 1.674301881614548293e-04 2.773565412316377277e+01 -2.850984245921255565e-03 -9.590706728024440920e-04 3.231554637362285932e-07
